2024-01-15 10:00:01 | IP: 192.168.1.10 | User: alice.johnson | URL: google.com | Status: ALLOWED | Bytes: 2340
2024-01-15 10:02:15 | IP: 192.168.1.11 | User: bob.smith | URL: outlook.office365.com | Status: ALLOWED | Bytes: 5120
2024-01-15 10:03:22 | IP: 192.168.1.12 | User: carol.white | URL: github.com | Status: ALLOWED | Bytes: 8900
2024-01-15 10:05:44 | IP: 192.168.1.13 | User: dave.brown | URL: stackoverflow.com | Status: ALLOWED | Bytes: 4300
2024-01-15 10:08:11 | IP: 192.168.1.14 | User: eve.davis | URL: linkedin.com | Status: ALLOWED | Bytes: 3100
2024-01-15 10:10:00 | IP: 10.0.0.99 | User: unknown_user | URL: internal-server.corp.local | Status: ALLOWED | Bytes: 500
2024-01-15 10:10:01 | IP: 10.0.0.99 | User: unknown_user | URL: internal-server.corp.local | Status: ALLOWED | Bytes: 500
2024-01-15 10:10:01 | IP: 10.0.0.99 | User: unknown_user | URL: hr-portal.corp.local | Status: ALLOWED | Bytes: 620
2024-01-15 10:10:02 | IP: 10.0.0.99 | User: unknown_user | URL: finance-db.corp.local | Status: ALLOWED | Bytes: 1200
2024-01-15 10:10:02 | IP: 10.0.0.99 | User: unknown_user | URL: admin-panel.corp.local | Status: ALLOWED | Bytes: 890
2024-01-15 10:10:03 | IP: 10.0.0.99 | User: unknown_user | URL: payroll.corp.local | Status: ALLOWED | Bytes: 1500
2024-01-15 10:10:03 | IP: 10.0.0.99 | User: unknown_user | URL: credentials-store.corp.local | Status: ALLOWED | Bytes: 2200
2024-01-15 10:10:04 | IP: 10.0.0.99 | User: unknown_user | URL: backup-server.corp.local | Status: ALLOWED | Bytes: 45000
2024-01-15 10:10:04 | IP: 10.0.0.99 | User: unknown_user | URL: dc01.corp.local | Status: ALLOWED | Bytes: 3400
2024-01-15 10:10:05 | IP: 10.0.0.99 | User: unknown_user | URL: exchange.corp.local | Status: ALLOWED | Bytes: 8900
2024-01-15 10:10:05 | IP: 10.0.0.99 | User: unknown_user | URL: sharepoint-internal.corp.local | Status: ALLOWED | Bytes: 5600
2024-01-15 10:10:06 | IP: 10.0.0.99 | User: unknown_user | URL: vpn-gateway.corp.local | Status: ALLOWED | Bytes: 1100
2024-01-15 10:10:06 | IP: 10.0.0.99 | User: unknown_user | URL: siem.corp.local | Status: ALLOWED | Bytes: 7800
2024-01-15 10:10:07 | IP: 10.0.0.99 | User: unknown_user | URL: git.corp.local | Status: ALLOWED | Bytes: 4500
2024-01-15 10:10:07 | IP: 10.0.0.99 | User: unknown_user | URL: jenkins.corp.local | Status: ALLOWED | Bytes: 3200
2024-01-15 10:10:08 | IP: 10.0.0.99 | User: unknown_user | URL: confluence.corp.local | Status: ALLOWED | Bytes: 2800
2024-01-15 10:10:08 | IP: 10.0.0.99 | User: unknown_user | URL: jira.corp.local | Status: ALLOWED | Bytes: 6100
2024-01-15 10:10:09 | IP: 10.0.0.99 | User: unknown_user | URL: monitoring.corp.local | Status: ALLOWED | Bytes: 1900
2024-01-15 10:10:09 | IP: 10.0.0.99 | User: unknown_user | URL: dns-server.corp.local | Status: ALLOWED | Bytes: 800
2024-01-15 10:10:10 | IP: 10.0.0.99 | User: unknown_user | URL: ldap.corp.local | Status: ALLOWED | Bytes: 3100
2024-01-15 10:10:10 | IP: 10.0.0.99 | User: unknown_user | URL: radius.corp.local | Status: ALLOWED | Bytes: 950
2024-01-15 10:10:11 | IP: 10.0.0.99 | User: unknown_user | URL: proxy.corp.local | Status: ALLOWED | Bytes: 1400
2024-01-15 10:10:11 | IP: 10.0.0.99 | User: unknown_user | URL: firewall-mgmt.corp.local | Status: ALLOWED | Bytes: 5200
2024-01-15 10:10:12 | IP: 10.0.0.99 | User: unknown_user | URL: inventory.corp.local | Status: ALLOWED | Bytes: 2700
2024-01-15 10:10:12 | IP: 10.0.0.99 | User: unknown_user | URL: ticketing.corp.local | Status: ALLOWED | Bytes: 1800
2024-01-15 10:10:13 | IP: 10.0.0.99 | User: unknown_user | URL: wiki.corp.local | Status: ALLOWED | Bytes: 3300
2024-01-15 10:10:13 | IP: 10.0.0.99 | User: unknown_user | URL: erp.corp.local | Status: ALLOWED | Bytes: 9200
2024-01-15 10:10:14 | IP: 10.0.0.99 | User: unknown_user | URL: crm.corp.local | Status: ALLOWED | Bytes: 4100
2024-01-15 10:10:14 | IP: 10.0.0.99 | User: unknown_user | URL: mail-relay.corp.local | Status: ALLOWED | Bytes: 6700
2024-01-15 10:10:15 | IP: 10.0.0.99 | User: unknown_user | URL: file-server.corp.local | Status: BLOCKED | Bytes: 52000
2024-01-15 10:10:15 | IP: 10.0.0.99 | User: unknown_user | URL: archive.corp.local | Status: ALLOWED | Bytes: 78000
2024-01-15 10:10:16 | IP: 10.0.0.99 | User: unknown_user | URL: secrets-vault.corp.local | Status: BLOCKED | Bytes: 1200
2024-01-15 10:10:16 | IP: 10.0.0.99 | User: unknown_user | URL: certificate-authority.corp.local | Status: ALLOWED | Bytes: 8400
2024-01-15 10:10:17 | IP: 10.0.0.99 | User: unknown_user | URL: splunk.corp.local | Status: ALLOWED | Bytes: 5600
2024-01-15 10:10:17 | IP: 10.0.0.99 | User: unknown_user | URL: nessus.corp.local | Status: ALLOWED | Bytes: 3800
2024-01-15 10:10:18 | IP: 10.0.0.99 | User: unknown_user | URL: database-master.corp.local | Status: ALLOWED | Bytes: 95000
2024-01-15 10:12:30 | IP: 192.168.1.10 | User: alice.johnson | URL: youtube.com | Status: ALLOWED | Bytes: 15200
2024-01-15 10:15:22 | IP: 192.168.1.11 | User: bob.smith | URL: teams.microsoft.com | Status: ALLOWED | Bytes: 6700
2024-01-15 10:18:45 | IP: 192.168.1.12 | User: carol.white | URL: gitlab.com | Status: ALLOWED | Bytes: 5900
2024-01-15 10:20:11 | IP: 192.168.1.15 | User: frank.miller | URL: zoom.us | Status: ALLOWED | Bytes: 12400
2024-01-15 10:23:33 | IP: 192.168.1.13 | User: dave.brown | URL: reddit.com | Status: ALLOWED | Bytes: 8100
2024-01-15 10:25:18 | IP: 192.168.1.16 | User: grace.wilson | URL: notion.so | Status: ALLOWED | Bytes: 3700
2024-01-15 10:28:44 | IP: 192.168.1.14 | User: eve.davis | URL: medium.com | Status: ALLOWED | Bytes: 4100
2024-01-15 10:30:22 | IP: 192.168.1.17 | User: henry.taylor | URL: wikipedia.org | Status: ALLOWED | Bytes: 6300
2024-01-15 10:33:11 | IP: 192.168.1.18 | User: iris.anderson | URL: amazon.com | Status: ALLOWED | Bytes: 7400
