2024-01-15 09:01:12 | IP: 192.168.1.10 | User: alice.johnson | URL: google.com | Status: ALLOWED | Bytes: 2340
2024-01-15 09:02:45 | IP: 192.168.1.11 | User: bob.smith | URL: outlook.office365.com | Status: ALLOWED | Bytes: 5120
2024-01-15 09:03:18 | IP: 192.168.1.12 | User: carol.white | URL: github.com | Status: ALLOWED | Bytes: 8900
2024-01-15 09:05:22 | IP: 192.168.1.10 | User: alice.johnson | URL: youtube.com | Status: ALLOWED | Bytes: 15200
2024-01-15 09:06:33 | IP: 192.168.1.13 | User: dave.brown | URL: stackoverflow.com | Status: ALLOWED | Bytes: 4300
2024-01-15 09:08:11 | IP: 192.168.1.14 | User: eve.davis | URL: linkedin.com | Status: ALLOWED | Bytes: 3100
2024-01-15 09:10:44 | IP: 192.168.1.11 | User: bob.smith | URL: teams.microsoft.com | Status: ALLOWED | Bytes: 6700
2024-01-15 09:12:05 | IP: 192.168.1.15 | User: frank.miller | URL: docs.google.com | Status: ALLOWED | Bytes: 2800
2024-01-15 09:15:30 | IP: 192.168.1.10 | User: alice.johnson | URL: drive.google.com | Status: ALLOWED | Bytes: 9400
2024-01-15 09:17:22 | IP: 192.168.1.12 | User: carol.white | URL: github.com | Status: ALLOWED | Bytes: 7200
2024-01-15 09:20:18 | IP: 192.168.1.16 | User: grace.wilson | URL: slack.com | Status: ALLOWED | Bytes: 3400
2024-01-15 09:22:41 | IP: 192.168.1.13 | User: dave.brown | URL: npmjs.com | Status: ALLOWED | Bytes: 5600
2024-01-15 09:25:05 | IP: 192.168.1.14 | User: eve.davis | URL: medium.com | Status: ALLOWED | Bytes: 4100
2024-01-15 09:28:33 | IP: 192.168.1.11 | User: bob.smith | URL: outlook.office365.com | Status: ALLOWED | Bytes: 3200
2024-01-15 09:30:12 | IP: 192.168.1.17 | User: henry.taylor | URL: wikipedia.org | Status: ALLOWED | Bytes: 6300
2024-01-15 09:33:45 | IP: 192.168.1.10 | User: alice.johnson | URL: calendar.google.com | Status: ALLOWED | Bytes: 1800
2024-01-15 09:35:22 | IP: 192.168.1.15 | User: frank.miller | URL: zoom.us | Status: ALLOWED | Bytes: 12400
2024-01-15 09:38:11 | IP: 192.168.1.12 | User: carol.white | URL: gitlab.com | Status: ALLOWED | Bytes: 5900
2024-01-15 09:40:05 | IP: 192.168.1.16 | User: grace.wilson | URL: notion.so | Status: ALLOWED | Bytes: 3700
2024-01-15 09:42:33 | IP: 192.168.1.13 | User: dave.brown | URL: reddit.com | Status: ALLOWED | Bytes: 8100
2024-01-15 09:45:18 | IP: 192.168.1.18 | User: iris.anderson | URL: amazon.com | Status: ALLOWED | Bytes: 7400
2024-01-15 09:48:44 | IP: 192.168.1.11 | User: bob.smith | URL: sharepoint.com | Status: ALLOWED | Bytes: 4500
2024-01-15 09:50:22 | IP: 192.168.1.14 | User: eve.davis | URL: twitter.com | Status: ALLOWED | Bytes: 3800
2024-01-15 09:53:11 | IP: 192.168.1.10 | User: alice.johnson | URL: mail.google.com | Status: ALLOWED | Bytes: 2100
2024-01-15 09:55:30 | IP: 192.168.1.17 | User: henry.taylor | URL: cnn.com | Status: ALLOWED | Bytes: 5200
2024-01-15 10:00:15 | IP: 192.168.1.15 | User: frank.miller | URL: figma.com | Status: ALLOWED | Bytes: 9800
2024-01-15 10:03:22 | IP: 192.168.1.12 | User: carol.white | URL: vercel.com | Status: ALLOWED | Bytes: 4200
2024-01-15 10:05:45 | IP: 192.168.1.16 | User: grace.wilson | URL: trello.com | Status: ALLOWED | Bytes: 3100
2024-01-15 10:08:11 | IP: 192.168.1.13 | User: dave.brown | URL: docker.com | Status: ALLOWED | Bytes: 6700
2024-01-15 10:10:33 | IP: 192.168.1.18 | User: iris.anderson | URL: ebay.com | Status: ALLOWED | Bytes: 5400
2024-01-15 10:13:22 | IP: 192.168.1.11 | User: bob.smith | URL: onedrive.live.com | Status: ALLOWED | Bytes: 8200
2024-01-15 10:15:44 | IP: 192.168.1.14 | User: eve.davis | URL: pinterest.com | Status: ALLOWED | Bytes: 4800
2024-01-15 10:18:05 | IP: 192.168.1.10 | User: alice.johnson | URL: news.ycombinator.com | Status: ALLOWED | Bytes: 3300
2024-01-15 10:20:30 | IP: 192.168.1.17 | User: henry.taylor | URL: bbc.com | Status: ALLOWED | Bytes: 6100
2024-01-15 10:23:18 | IP: 192.168.1.15 | User: frank.miller | URL: miro.com | Status: ALLOWED | Bytes: 7500
2024-01-15 10:25:45 | IP: 192.168.1.12 | User: carol.white | URL: aws.amazon.com | Status: ALLOWED | Bytes: 5200
2024-01-15 10:28:11 | IP: 192.168.1.16 | User: grace.wilson | URL: asana.com | Status: ALLOWED | Bytes: 2900
2024-01-15 10:30:33 | IP: 192.168.1.13 | User: dave.brown | URL: pypi.org | Status: ALLOWED | Bytes: 4100
2024-01-15 10:33:22 | IP: 192.168.1.18 | User: iris.anderson | URL: walmart.com | Status: ALLOWED | Bytes: 6800
2024-01-15 10:35:45 | IP: 192.168.1.11 | User: bob.smith | URL: powerbi.microsoft.com | Status: ALLOWED | Bytes: 9200
2024-01-15 10:38:11 | IP: 192.168.1.14 | User: eve.davis | URL: instagram.com | Status: ALLOWED | Bytes: 11500
2024-01-15 10:40:33 | IP: 192.168.1.10 | User: alice.johnson | URL: sheets.google.com | Status: ALLOWED | Bytes: 3700
2024-01-15 10:43:22 | IP: 192.168.1.17 | User: henry.taylor | URL: nytimes.com | Status: ALLOWED | Bytes: 5800
2024-01-15 10:45:44 | IP: 192.168.1.15 | User: frank.miller | URL: canva.com | Status: ALLOWED | Bytes: 8400
2024-01-15 10:48:11 | IP: 192.168.1.12 | User: carol.white | URL: bitbucket.org | Status: ALLOWED | Bytes: 4600
2024-01-15 10:50:30 | IP: 192.168.1.16 | User: grace.wilson | URL: monday.com | Status: ALLOWED | Bytes: 3200
2024-01-15 10:53:22 | IP: 192.168.1.13 | User: dave.brown | URL: rubygems.org | Status: ALLOWED | Bytes: 2800
2024-01-15 10:55:45 | IP: 192.168.1.18 | User: iris.anderson | URL: target.com | Status: ALLOWED | Bytes: 7100
2024-01-15 10:58:11 | IP: 192.168.1.11 | User: bob.smith | URL: outlook.office365.com | Status: ALLOWED | Bytes: 4300
2024-01-15 11:00:30 | IP: 192.168.1.14 | User: eve.davis | URL: facebook.com | Status: ALLOWED | Bytes: 5600
